"C_EIN"|"C_Org_Name"|"activity_id"|"XML_DOCUMENT_ID"|"ACTIVITY"|"EXPENSES"
"01-0213987"|"WARDWELL HOME FOR THE AGING INC"|"48807"|"741495"|"PROVIDING HOUSING AND RESIDENTIAL SERVICES FOR THE ELDERLY"|"906813.0000"
"02-0519812"|"CENTENNIAL SENIOR CENTER, INC."|"48824"|"742175"|"SENIOR ACTIVITIES INCLUDING YOGA AND OTHER EXERCISE PROGRAMS AND SENIOR SAFETY PROGRAMS."|"67283.0000"
"03-0463941"|"THE USHER AND MIRIAM MEISELS FAMILY FOUNDATION"|"48825"|"742196"|"ORGANIZATION ENGAGED IN RELIGIOUS EDUCATION AND ASSISTING THE NEEDY"|"0.0000"
"04-6079166"|"Elisha V. Ashton Trust U/W"|"48826"|"742274"|"GRANT MAKING -ONE BENEFICIARY"|"72525.0000"
"04-2103762"|"CONCORD'S HOME FOR THE AGED, INC."|"48950"|"740596"|"MAINTAINED AND OPERATED A HOME FOR THE ELDERLY"|"0.0000"
"01-0212437"|"MCARTHUR HOME FOR AGED PEOPLE ASSN."|"49002"|"747791"|"Subsidized low income rental"|"424597.0000"
"01-6010608"|"BANGOR FUEL SOCIETY"|"49003"|"747815"|"All net income is used for the purchase and delivery of winter home heating fuel to people in need in Bangor, Maine and adjoining communities"|"55093.0000"
"02-0241739"|"SCOTT-FARRAR HOME"|"49004"|"747822"|"OPERATION OF A NON-PROFIT RETIREMENT HOME OFFERING PRIVATE FACILITIES FOR SELF-AMBULATORY INDIVIDUALS."|"960263.0000"
"04-3493675"|"BARAKAT, INC."|"49052"|"755830"|"Funds schools in Afghanistan"|"120065.0000"
"04-3493675"|"BARAKAT, INC."|"49053"|"755830"|"Funded schools in Pakistan"|"76960.0000"
"04-3493675"|"BARAKAT, INC."|"49054"|"755830"|"Barakat India Programs"|"2459.0000"
"01-0261396"|"Kaler Vaill Memorial Home"|"49093"|"758142"|"Provided temporary housing for aged needy women."|"390493.0000"
"04-3140032"|"The Hsaio Family Foundation"|"49132"|"758413"|"Making grants"|""
"04-3581030"|"Gray Lady Foundation, Inc."|"49133"|"758428"|"Grant to AKC Canine Health Foundation"|"25000.0000"
"04-3581030"|"Gray Lady Foundation, Inc."|"49134"|"758428"|"Grant to Ohio State Veterinary College for research"|"16660.0000"
"04-6050419"|"Albert H. & Reuben S. Stone Fund"|"49135"|"758450"|"Scholarships granted during the year."|"83425.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"49198"|"760541"|"INTERNET TO ASSIST OTHER NONPROFITS WITH THEIR INTERNET STRATEGIES/WEBSITES"|"4800.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"49199"|"760541"|"GENERALOGY PROGRAM RESEARCH AND DISSEMINATION OF INFORMATION ABOUT MEHODOLOGY OF GENEALOGICAL RESEARCH WORK WORK ON THE ESTABLISHMENT OF A JEWISH MUSEUM"|"21621.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"49200"|"760541"|"GERMAN JEWISH COMMUNITY HISTORICAL COUNCIL AWARDS PROGRAM ACKNOWLEDGING GERMAN CITIZENS' PRESERVATION OF JEWISH HISTORY AND CULTURE IN THEIR LOCAL COMMUNITIES"|"69654.0000"
"04-2711822"|"OBERMAYER FOUNDATION INC"|"49201"|"760541"|"WORK ON THE ESTABLISHMENT OF A JEWISH MUSEUM"|"860.0000"
"04-6040535"|"TRUSTEES OF THE PUTNAM FREE SCHOOL"|"49218"|"762230"|"The Foundation grants scholarships to qualified students inthe Newburyport area"|"74978.0000"
"04-2178056"|"LUCRETIA PRENTISS BAILEY TRUST OF MASSACHUSETTS"|"49236"|"761706"|"ALL ASSETS ARE USED TO OPERATE BERRYBROOK SCHOOL. THE TRUST OWNS THE PROPERTY ON WHICH THE SCHOOL IS LOCATED."|"165675.0000"
"03-6039645"|"ARTHUR J. WHITE & ALICE M. DEMOND 43C060019"|"49239"|"761888"|"PER TERMS OF THE TRUST, INCOME IS PAID TO ST. CHARLES CHURCH"|"61472.0000"
"04-3368611"|"THE CROZIER FAMILY CHARITABLE FOUNDATION"|"49240"|"761914"|"NONE - GRANTMAKING ONLY"|""
"04-6064025"|"THE ROSS WEBB FUND"|"49242"|"761959"|"CASH DONATIONS TO ORGANIZED CHARITIES"|"53990.0000"
"04-6387242"|"GRACE HOWE FAMILY TRUST 31A015010"|"49243"|"761966"|"SCHOLARSHIP PAYMENTS AND PAYMENTS TO CHARITABLE ORGANIZATIONS"|"20000.0000"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"49514"|"768985"|"POOL OPERATIONS - COMPETITION AND CHILD-SIZED POOLS ARE AVAILABLE TO THE SURROUNDING COMMUNITIES 102 HOURS/ WEEK THROUGHOUT THE YEAR."|"1167821.0000"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"49515"|"768985"|"SWIM TEAM - APPROXIMATELY 50 PEOPLE TRAIN FOR COMPETITION FOR 1.5 HOURS 2-4 TIMES PER WEEK DEPENDING ON THEIR LEVEL. THE FOUNDATION PROVIDES A COACH."|"32440.0000"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"49516"|"768985"|"GROUP SWIM - THERE ARE 6 CHILDEN PER CLASS, AND 14-16 CLASSES PER WEEK FOR 6 WEEKS. IT IS REPEATED 7 TIMES/YEAR"|"51903.0000"
"03-0363251"|"STOWE SWIMMERS FOUNDATION LTD, D/B/A THE SWIMMING HOLE"|"49517"|"768985"|"AQUAEROBICS CLASSES - THE FOUNDATION RUNS 3 1-HR CLASSES PER WEEK, 52 WEEKS. APPROXIMATELY 15 PEOPLE ATTEND EACH CLASS"|"45415.0000"
"03-6084732"|"Ferdinand & Sarah Cinelli Charitable Trust"|"49533"|"768679"|"Etruscan Foundation"|"0.0000"
"03-6084732"|"Ferdinand & Sarah Cinelli Charitable Trust"|"49534"|"768679"|"Spannocchia Foundation"|"0.0000"
"04-2723441"|"Demoulas Foundation"|"49535"|"768682"|"Hospitals and Health Organizations"|"402350.0000"
"04-2723441"|"Demoulas Foundation"|"49536"|"768682"|"Schools, Colleges and Universities"|"370350.0000"
"04-2723441"|"Demoulas Foundation"|"49537"|"768682"|"Civic and Cultural Organizations"|"332015.0000"
"04-2723441"|"Demoulas Foundation"|"49538"|"768682"|"Churches, Temples and Religious Organizations"|"295500.0000"
"04-6035506"|"J HENRY KENDALL TRUST"|"49720"|"773806"|"CITY OF LEOMINSTER - FINANCIAL SUPPORT OF LEOMINSTER HIGH SCHOOL"|"48167.0000"
"04-6035506"|"J HENRY KENDALL TRUST"|"49721"|"773806"|"FIRST CHURCH UNITARIAN UNIVERSALIST - FINANCIAL SUPPORT FOR RELIGIOUS ACTIVITIES"|"24083.0000"
"04-6035506"|"J HENRY KENDALL TRUST"|"49722"|"773806"|"SARAH PAQUETTE - FINANCIAL AID AND SUPPORT OF INDIGENT UNMARRIED ELDERLY WOMEN"|"2350.0000"
"04-6035506"|"J HENRY KENDALL TRUST"|"49723"|"773806"|"SHEILA BISHOP - FINANCIAL AID AND SUPPORT OF INDIGENT UNMARRIED ELDERLY WOMEN"|"2050.0000"
"01-6011506"|"ROBERT W. BELKNAP, MD, FREE BED FUND"|"49767"|"777625"|"PAID TO MILES HEALTN CENTER OF DAMARISCOTTA, ME TO PAY PART OF HOSPITAL EXPENSES OF NEEDY PERSONS"|"12000.0000"
"02-0502244"|"LAVOIE FOUNDATION"|"49768"|"777654"|"Provide financial assistance for education, health, social welfare and those in need."|"86787.0000"
"04-6058104"|"William B Rice Aid Fund Inc"|"49770"|"777775"|"Scholarship Awards to residents of Hundson Massachusetts pursuing post-secondary education"|"42000.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"49966"|"706863"|"DEMONSTRATION SITES-TO DEMONSTRATE THE PRACTICAL APPLICATION OF SHARED DECISION MAKING IN MULTIPLE SETTINGS."|"3142385.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"49967"|"706863"|"RESEARCH - TO EXPAND THE EVIDENCE ABOUT THE VALUE OF SHARED MEDICAL DECISION MAKING."|"1811283.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"49968"|"706863"|"PATIENT DECISION SUPPORT MATERIALS - THE DEVELOPMENT OF CONTENT DOCUMENTS BASED ON EVIDENCE REVIEW, FOCUS GROUP DISCUSSION WITH PATIENTS, PROVIDERS AND DECISION ANALYSIS. CONTENT IS USED IN DEVELOPMENT OF MATERIALS TO ASSIST PATIENTS IN MAKING INFORMED MEDICAL DECISIONS."|"2094469.0000"
"02-0434037"|"FOUNDATION FOR INFORMED MEDICAL DECISION MAKING, INC."|"49969"|"706863"|"DISSEMINATION, TRAINING AND TEACHING - TO CHANGE THE HEARTS AND MINDS OF PATIENTS, PROVIDERS, JOURNALISTS, THE PUBLIC POLICY MAKERS ABOUT THE IMPORTANCE OF SHARED MEDICIAL DECISION MAKING."|"2397211.0000"
"03-6016628"|"MERCHANTS BANK FOUNDATION, INC."|"50019"|"715729"|"MERCHANTS BANK FOUNDATION PROVIDES GRANTS TO IRC SECTION 501(C)(3) ORGANIZATIONS FOR ACCOMPLISHMENT OF VARIOUS CHARITABLE PURPOSES."|"0.0000"
"04-2121342"|"METROWEST COMMUNITY HEALTH CARE FOUNDATION, INC."|"50020"|"715737"|"1) THE FOUNDATION PROVIDED RESEARCH, DATA COLLECTION AND PROGRAM SUPPORT TO IMPROVE HEALTH AND HEALTH CARE SERVICES TO THE TWENTY-FIVE COMMUNITIES IN THE METROWEST AREA OF MASSACHUSETTS. 2) THE FOUNDATION PROVIDED OVER $3.5 MILLION IN NEW GRANTS TO 87 NON-PROFIT COMMUNITY ORGANIZATIONS AND MUNICIPAL GOVERNMENTS TO IMPROVE THE HEALTH OF THE METROWEST RESIDENTS. THESE GRANTS SUPPORT A VARIETY OF PROGRAMS THAT SERVE ELDERS, YOUTH AND SPECIAL POPULATIONS SUCH AS THE HOMELESS AND INDIGENT."|"362310.0000"
"04-3333757"|"BERT L & N KUGGIE VALLEE FOUNDATION, INC"|"50081"|"720111"|"The organization directly serves the advancement of scientific education by (i) organizing and arranging short-term visiting professorships of distinguished scientists at universities in the United States and abroad, (ii) organizing and overseeing research by distinguished scientists and other scholars on biomedical research projects of specific interest to the organization, and (iii) organizing and conducting seminars and symposia."|"226625.0000"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"50139"|"724527"|"NETWORKING AND PUBLIC RELATIONS - ATTENDED PEACE CONFERENCES AND CO-SPONSORED EVENTS IN ORDER TO EXPAND THE NETWORK OF PEACE AND EDUCATION ORGANIZATIONS"|"335981.0000"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"50140"|"724527"|"PUBLICATIONS - PUBLICATIONS RELATED TO PEACE AND EDUCATION IKEDA CENTER HAS PRODUCED A TOTAL OF FIFTEEN PUBLICATIONS, AND COMPLETE ON AVERAGE TWO EACH YEAR DURING FISCAL YEAR 2010 IKEDA CENTER PUBLISHED TWO BOOKS, INTO FULL FLOWER AND CREATING WALDENS DURING FISCAL YEAR 2011, IKEDA CENTER BEGAN TWO PUBLICATIONS THAT ARE EXPECTED TO BE PUBLISHED DURING FISCAL YEAR 2012"|"162039.0000"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"50141"|"724527"|"SEMINARS AND PUBLIC EVENTS - ATTENDANCE AND HOSTING OF VARIOUS PEACE AND EDUCATION RELATED EVENTS"|"71952.0000"
"04-3366125"|"IKEDA CENTER FOR PEACE LEARNING AND DIALOGUE INC"|"50142"|"724527"|"EDUCATION FELLOWS PROGRAM - THE IKEDA CENTER EDUCATION FELLOWS PROGRAM SUPPORTS DOCTORAL DISSERTATIONS ON ANY ASPECT OF THE PHILOSOPHY AND PRACTICE OF SOKA EDUCATION, INCLUDING ITS RELATION TO THE PHILOSOPHY AND PRACTICE OF EDUCATION MORE GENERALLY UP TO TWO IKEDA CENTER EDUCATION FELLOWS WILL BE SELECTED BY AN ADVISORY COUNCIL OF LEADING SCHOLARS OF EDUCATIONAL PHILOSOPHY FELLOWS WILL BE ELIGIBLE FOR TWO YEARS OF FUNDING AT $10,000 PER YEAR, WITH THE SECOND YEAR CONTINGENT ON PROOF"|"44251.0000"
"01-0956020"|"THE MASIMO FOUNDATION FOR ETHICS, INNOVATION AND COMPETITION IN HEALTHCARE"|"50203"|"742156"|"GRANT PROVIDED TO 24 CHARITIES FOR PURPOSES OF ENSURING PATIENT SAFETY, INCREASING EFFICIENCY AND INCREASING THE AVILIABLITY OF ADVANCED MEDICAL EQUIPMENT FOR HEALTCARE FACILITIES WORLDWIDE."|"907204.0000"
"04-3602929"|"NORTH CAROLINA SCIENCE, MATHEMATICS, AND TECHNOLOGY EDUCATION CENTER, INC."|"50272"|"760544"|"COLLABORATIVE PROJECT IS AN EFFORT TO POSITIVELY IMPACT TEACHER RECRUITMENT AND RETENTION, TO PROVIDE QUALITY PROFESSIONAL DEVELOPMENT RESOURCES, AND TO SIGNIFICANTLY IMPROVE STUDENT PERFORMANCE IN ELEMENTARY AND MIDDLE SCHOOLS IN THE 5 PARTICIPATING SCHOOL DISTRICTS OF CASWELL, GREENE, MITCHELL, WARREN AND WASHINGTON COUNTIES. THE NORTH CAROLINA SCIENCE MATHEMATICS AND TECHNOLOGY CENTER INCURRED EXPENSES OF $129,628 FOR THE COLLABORATIVE PROJECT DURING THE FISCAL YEAR."|"129628.0000"
"04-3602929"|"NORTH CAROLINA SCIENCE, MATHEMATICS, AND TECHNOLOGY EDUCATION CENTER, INC."|"50273"|"760544"|"THE TEACHERLINK PROGRAM CONNECTS COMMUNITY EXPERTS IN SCIENCE, MATHEMATICS AND TECHNOLOGY WITH TEACHERS IN ORDER TO PROVIDE TEACHERS WITH NEW CONTENT AND EXPERTISE IN TEACHING SCIENCE, MATHEMATICS AND TECHNOLOGY. THE NORTH CAROLINA SCIENCE MATHEMATICS AND TECHNOLOGY CENTER INCURRED EXPENSES OF $57,915 FOR THE TEACHERLINK PROGRAM DURING THE FISCAL YEAR."|"57915.0000"
"04-3602929"|"NORTH CAROLINA SCIENCE, MATHEMATICS, AND TECHNOLOGY EDUCATION CENTER, INC."|"50274"|"760544"|"SCIENCE COMPETITIONS OFFER HIGH SCHOOL STUDENTS THE OPPORTUNITY TO DISPLAY THEIR SCIENCE RESEARCH AT COMPETITIONS. THE NORTH CAROLINA SCIENCE MATHEMATICS AND TECHNOLOGY CENTER INCURRED EXPENSES OF $48,954 FOR SCIENCE COMPETITIONS DURING THE FISCAL YEAR."|"48954.0000"
"04-3602929"|"NORTH CAROLINA SCIENCE, MATHEMATICS, AND TECHNOLOGY EDUCATION CENTER, INC."|"50275"|"760544"|"THE FLIGHT FELLOWS PROGRAM CONSISTS OF TWENTY EXPERT TEACHERS WITH THE POTENTIAL TO DRIVE STEM IMPROVEMENTS WHO LEARN ABOUT CONTEMPORARY AEROSPACE SCIENCE AND DEVELOP INNOVATIVE, LOCALLY RELEVANT CURRICULUM USING NASA EDUCATIONAL RESOURCES TO MOTIVATE STUDENTS TO PURSUE STEM STUDY AND CAREERS IN AEROSPACE. THE NORTH CAROLINA SCIENCE MATHEMATICS AND TECHNOLOGY CENTER INCURRED EXPENSES OF $26,795 FOR THE FLIGHT FELLOWS PROGRAM DURING THE FISCAL YEAR."|"26795.0000"
"04-3340127"|"PIECEWORK PARTNERS"|"50311"|"786043"|"THE FOUNDATION PROVIDES DISADVANTAGED YOUTHS WITH SOCIAL SERVICES, EXTRACURRICULAR ACTIVITIES AND MENTORS IN ORDER TO ENCOURAGE THEM TO STAY IN SCHOOL"|"0.0000"
"04-3340127"|"PIECEWORK PARTNERS"|"50312"|"786043"|"THE FOUNDATION'S ACTIVITIES BENEFIT STUDENTS IN THE FOLLOWING MASSACHUSETTS COMMUNITIES FITCHBURG, CLINTON, FRAMINGHAM AND STOUGHTON"|"479459.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"50338"|"715648"|"The Young Men's Christian Association Auburn-Lewiston's stated mission ""is that of a character-building organization dedicated to building strong kids, strong families and strong communities that promote a healthy spirit, mind and body for everyone. Every day the Auburn-Lewiston YMCA promotes healthy lifestyles and the development of children, teens and adults. They support families and strengthen communities through services and programs that meet local needs."""|"6000.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"50339"|"715648"|"The Patrick Dempsey Center for Cancer Hope and Healing is located at Central Maine Medical Center, and is dedicated to helping people deal with the stress of cancer by offering high-quality education, support and wellness services. Each year the hospital sponsors the Dempsey Challenge and attracts walkers, runners and cyclists from all over the country. Funds raised by the hospital are used to support the mission of the Dempsey Center."|"2915.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"50340"|"715648"|"Special Olympics Maine gives athletes the encouragement they need to boost their self-image, as well as enhance the quality of their lives through sports training and competition. Athletes, families, coaches and volunteers share in discovering the true meaning of courage, determination and sportsmanship."|"1525.0000"
"02-0549409"|"MAINE ORTHOPAEDIC FOUNDATION"|"50341"|"715648"|"Pathways' mission is to provide services, support and advocacy for all individuals with disabilities to enhance the quality of their lives. Pathways maximizes opportunities for children, adults and senior citizens with disabilities to become valued and accepted parts of their communities. In 2011 the Maine Orthopaedic Foundation was a Platinum Sponsor of Pathways, Inc's 30th Annual Pottle Hill Road Race."|"1000.0000"
"01-0490113"|"Maine State Troopers Foundation"|"50365"|"723057"|"PROVIDE SUPPORT OF ACTIVITIES DESIGNED TO PREVENT OR MITIGATE THE EFFECTS DOMESTIC VIOLENCE, CHILD ABUSE, SUBSTANCE ABUSE, AND JUVENILE DELINQUENCY AND TO PROMOTE PUBLIC SAFETY"|""
"04-6027727"|"FANNIE B. PRATT U/W CLAUSE NO. 31"|"50372"|"740563"|"THE FOUNDATION PROVIDES DIRECT SUPPORTIVE CASH RELIEF TO THE POOR & DESERVING WIDOWS IN THE CITY OF BOSTON ON REFERRAL & EVALUATION."|"0.0000"
"02-6005861"|"NEW HAMPSHIRE BALL BEARINGS FOUNDATION"|"50382"|"747023"|"The foundation is solely engaged in grant making activities."|""
"04-2733961"|"Dunkin Brands Charitable Trust"|"50397"|"761715"|"Scholarship awards selected by an independent service. Total includes 8 scholarship to $2,000 and $1,800 paid to an outside scholarship service, Scholarship America to screen and administer program."|"17800.0000"
"03-0213310"|"RONALD TERRILL MEMORIAL FUND, INC."|"50398"|"761866"|"THE RONALD TERRILL MEMORIAL FUND, INC. PROVIDES FINANCIAL AID TO STUDENTS SEEKING A POST SECONDARY SCHOOL EDUCATION."|"27000.0000"
"04-3452444"|"ELIZABETH & GEORGE L. SANBORN FOUNDATION"|"50399"|"761930"|"GRANTS PROVIDE TRANSPORTATION FOR ARLINGTON, MA CANCER PATIENTS TO AND FROM MEDICAL APPOINTMENTS"|"25000.0000"
"04-3452444"|"ELIZABETH & GEORGE L. SANBORN FOUNDATION"|"50400"|"761930"|"GRANTS PROVIDE TOBACCO EDUCATION PROGRAMS IN THE ARLINGTON PUBLIC SCHOOLS"|"48000.0000"
"04-3452444"|"ELIZABETH & GEORGE L. SANBORN FOUNDATION"|"50401"|"761930"|"DIRECT FINANCIAL ASSISTANCE TO INDIVIDUAL RESIDENTS OF ARLINGTON, MA FOR MEDICAL SUPPLIES, PRESCRIPTION DRUGS, HOSPICE CARE, MEDICAL TREATMENTS AND HEALTH INSURANCE PREMIUM"|"57324.0000"
"04-3452444"|"ELIZABETH & GEORGE L. SANBORN FOUNDATION"|"50402"|"761930"|"GRANT ADMINISTRATION"|"21924.0000"
"04-3556844"|"BOSTON SCIENTIFIC FOUNDATION, INC."|"50482"|"773805"|"SOCIETY FOR CARDIOVASCULAR ANGIOGRAPHY & INTERVENTIONS"|"400000.0000"
"04-3556844"|"BOSTON SCIENTIFIC FOUNDATION, INC."|"50483"|"773805"|"CARDIOVASCULAR RESEARCH FOUNDATION"|"140000.0000"
"04-3556844"|"BOSTON SCIENTIFIC FOUNDATION, INC."|"50484"|"773805"|"HEART RHYTHM SOCIETY"|"110000.0000"
"04-3556844"|"BOSTON SCIENTIFIC FOUNDATION, INC."|"50485"|"773805"|"THE FAMILY VAN"|"36137.0000"
"03-0184240"|"OM FISHER HOME INC"|"50526"|"785783"|"100% CARE FOR ELDERLY"|"1643882.0000"
"03-0184240"|"OM FISHER HOME INC"|"50527"|"785783"|"RESIDENTIAL CARE FACILITY"|"716776.0000"
"03-0346513"|"The Orton Family Foundation, Inc."|"50528"|"785789"|"The Foundation is working with demonstration communities to develop with the Foundation an innovative, Heart and Soul Community Planning approach to engagement and community planning in small cities and towns in the Northeast and Rocky Mountain West. The Foundation works with consultants to develop discrete pieces of this work."|"1203174.0000"
"03-0346513"|"The Orton Family Foundation, Inc."|"50529"|"785789"|"The Foundation works with its demonstration projects to communicate more clearly with its residents. At a higher level, the Foundation seeks to influence the field of land use planning. To this end, it uses its website and social media to broadcast lessons and successes. In 2011, the Foundation held targeted ""convenings"" on discrete topics and evaluates its work for purpose of learning, disseminating case studies, providing training and producing publications."|"968621.0000"
"04-6215821"|"JOSEPH & CLARA FLYNN SCHOLARSHIP TRUST 32A001018"|"50644"|"788130"|"SCHOLARSHIPS TO GRADUATES OF FITCHBURG HIGH SCHOOL OR ST BERNARDS HIGH SCHOOL, WORCESTER COUNTY, MASS SEE ATTACHED RECIPIENT LIST"|"37700.0000"
"01-6145027"|"ANNE WHITEMAN RICHARDSON RESIDUARY"|"50788"|"789719"|"Distributions to charitable organizations for their unrestricted use"|"26166.0000"
"02-6040429"|"BJB Charitable Account"|"50789"|"789727"|"The making of direct contributions to other charitable entities as described and identified in the Barbara J. Brown Revocable Trust."|""
"02-6115326"|"THE BAGAN FOUNDATION"|"50790"|"789728"|""|"16000.0000"
"02-6115326"|"THE BAGAN FOUNDATION"|"50791"|"789728"|"THE FOUNDATION'S PURPOSE IS TO OPERATE EXCLUSIVELY FOR CHARITABLE, RELIGIOUS, SCIENTIFIC, LITERARY, OR EDUCATIONAL PURPOSES PER CODE SEC 170(C)(2) PRINCIPAL ACTIVITY IS TO SUPPORT FINANCIALLY, CHARITABLE ORGANIZATIONS PRIMARILY LOCAL TO CONCORD, NH AND SURROUNDING COMMUNITIES"|""
"03-0330527"|"FRANK M. AND OLIVE F. GILMAN FOUNDATION"|"50792"|"789730"|"PROVIDES GRANTS TO EDUCATIONAL 501(C) 3 ORGANIZATIONS THAT PROVIDE SCHOLARSHIPS TO HIGH SCHOOL SENIORS IN WINDSOR CTY AND ORANGE CTY IN VT AND GRAFTON CTY IN NEW HAMPSHIRE"|"1982409.0000"
"04-6466327"|"JONES, GRACE B."|"50793"|"789772"|"SCHOLARSHIPS FOR GRADUATES OF NAUSET HIGH SCHOOL"|"20000.0000"
"04-6905753"|"THE FISH FAMILY FOUNDATION"|"50903"|"927488"|"THE FOUNDATION IS NOT INVOLVED IN ANY DIRECT CHARITABLE ACTIVITIES. ITS PRIMARY PURPOSE IS TO SUPPORT, BY CONTRIBUTIONS, ORGANIZATIONS EXEMPT UNDER IRC SECTION 501C3"|"0.0000"
"04-3399061"|"1997 John & Mary Murphy Educational Foundation"|"50913"|"927555"|"None within definition of IRC SEC 4942 (j) (3) or regulations Section 53.4942(b)-1 (b) (2) and 53.4942(b)-1 (d)"|"0.0000"
"04-6139356"|"JESSIE GORDON SHERMAN TR. U/W"|"50914"|"927561"|"NET INCOME IS PAID TO FAMILY SERVICE OF GREATER BOSTON, A CHARITABLE ORGANZATION DESCRIBED IN SECTION 501(C)(3) OF THE INTERNAL REVENUE CODE"|"82851.0000"
"04-6148959"|"VIPONT DE MERWIN R.D TR 151872 FBO 312065014"|"50915"|"927562"|"CHARITABLE CONTRIBUTION TO HISTORIC NEW ENGLAND"|"188506.0000"
"04-3340251"|"CITIZENS PROGRAMS CORPORATION"|"51041"|"930225"|"PAYMENTS MADE TO OIL DEALERS"|"26392865.0000"
"04-3340251"|"CITIZENS PROGRAMS CORPORATION"|"51042"|"930225"|"TRIBAL ORGANIZATION"|"12797779.0000"
"04-2103958"|"THE CAMBRIDGE HOMES"|"51051"|"933109"|"THE CAMBRIDGE HOMES SERVICES SENIORS THROUGHOUT THE CITY OF CAMBRIDGE, MA AND NEIGHBORING TOWNS, PROVIDING RENT SUBSIDIES TO LOW INCOME RESIDENTS IN ITS 44 UNIT ASSISTED LIVING FACILITY ONE-THIRD OF THE RESIDENTS QUALIFY AS LOW INCOME"|"2379122.0000"
"02-0694762"|"J&L FOUNDATION"|"51053"|"935959"|"PLANNING AND CARRYING OUT GRANT-MAKING TO OTHER UNRELATED CHARITABLE ORGANIZATIONS"|"0.0000"
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"51054"|"935973"|"Schools, Colleges and Universities"|"1325000.0000"
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"51055"|"935973"|"Health and Welfare"|"1125000.0000"
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"51056"|"935973"|"Churches, Temples and Religious Organizations"|"465000.0000"
"04-3582759"|"Telemachus and Irene Demoulas Family Foundation"|"51057"|"935973"|"Youth Organizations"|"325000.0000"
"04-6039660"|"EDDWARD BANGS KELLEY AND ELZA KELLEY FOUNDATION, INC."|"51058"|"935978"|"BIG BROTHERS/BIG SISTERS OF CAPE DOE & ISLANDS OPERATING SUPPORT $15,000; BARNSTABLE PUBLIC SCHOOLS PARTNERSHIP SUPPORT $10,000"|"30000.0000"
"04-6039660"|"EDDWARD BANGS KELLEY AND ELZA KELLEY FOUNDATION, INC."|"51059"|"935978"|"CAPE COD HEALTHCARE FOUNDATION RENOVATION AND EXPANSION OF THE LYNDON P. LORUSSO EMERGENCY CARE CENTER AT CAPE COD HOSPITAL"|"25000.0000"
"04-6039660"|"EDDWARD BANGS KELLEY AND ELZA KELLEY FOUNDATION, INC."|"51060"|"935978"|"FALMOUTH SERVICE CENTER PRODUCTION KITCHEN EXPANSION"|"20000.0000"
"04-6039660"|"EDDWARD BANGS KELLEY AND ELZA KELLEY FOUNDATION, INC."|"51061"|"935978"|"COMMUNITY HEALTH CENTER OF CAPE COD BUILDING FOR THE FUTURE EXPANSION PROJECT"|"20000.0000"
"04-6052150"|"SWIFT CHARITY, INC."|"51062"|"935979"|"GRANT MAKING"|"0.0000"
"04-6062249"|"ROTCH TRAVELING SCHOLARSHIP, INC."|"51063"|"935980"|"THIS TRUST IS CREATED FOR ADVANCEMENT OF EDUCATION IN ARCHITECTURE"|"66500.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"51064"|"935981"|"TO SUPPORT LAND CONSERVATION AND HISTORICAL HOUSE PRESERVATION."|"104859.0000"
"04-6076048"|"MARY M. B. WAKEFIELD CHARITABLE TRUST"|"51065"|"935981"|"INDIRECT OPERATING AND ADMIN EXPENSES FOR CHARITABLE ACTIVITY"|"359645.0000"
"05-0398850"|"KILMARTIN CHARITABLE CORPORATION"|"51066"|"935991"|"SEE ATTACHED SCHEDULE OF CHARITABLE CONTRIBUTIONS PAID. CHARITABLE CORPORATION MAKES DONATIONS TO OTHER TAX-EXEMPT ORGANIZATIONS TO HELP FURTHER THEIR TAX-EXEMPT FUNCTIONS. THE FOUNDATION DOES NOT HAVE SIGNIFICANT INVOLVEMENT WITH OR OPERATIONAL CONTROL OVER ANY OF THESE CHARITABLE ORGANIZATIONS."|""
