"C_EIN"|"C_Org_Name"|"SCHED_D_PART_VII_ID"|"xml_document_id"|"DESCRIPTION_SECURITY"|"METHOD_EOY_MARKET_VALUE"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192247"|"1592313"|"UUS PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192248"|"1592313"|"NRTC PARONAGE CAPITAL & MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192249"|"1592313"|"CRC PATRONAGE CAPITAL"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192250"|"1592313"|"COOP RESPONSE MEMBERSHIP"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192251"|"1592313"|"INVESTMENT IN FOX ISLAND WIND LLC"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192252"|"1592313"|"DEPOSIT WITH POWER SUPPLIER -VPPSA"|"C"
"01-0333304"|"FOX ISLANDS ELECTRIC COOPERATIVE INC"|"192253"|"1592313"|"SEDC MEMBERSHIP"|"C"
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"192335"|"1592312"|"Financial derivatives and other financial products"|""
"01-0269009"|"GREATER PORTLAND BOARD OF REALTORS"|"192336"|"1592312"|"Closely-held equity interests"|"C"
"01-0794834"|"INTERNATIONAL SOCIETY FOR AUTISM RESEARCH"|"192485"|"1594051"|"CERTIFICATES OF DEPOSIT"|"C"
"01-0346944"|"FREEPORT HISTORICAL SOCIETY"|"192785"|"1594049"|"Financial derivatives and other financial products"|""
"01-0346944"|"FREEPORT HISTORICAL SOCIETY"|"192786"|"1594049"|"Closely-held equity interests"|""
"01-0206603"|"COMMUNITY CREDIT UNION"|"192840"|"1595167"|"MEMBERSHIP CAPITAL SHARE DEPOSITS"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"192841"|"1595167"|"DEBENTURES"|"C"
"01-0206603"|"COMMUNITY CREDIT UNION"|"192842"|"1595167"|"CERTIFICATES OF DEPOSIT IN OTHER INSTITUTIONS"|"C"
"01-0612870"|"METHODIST TRANSPLANT PHYSICIANS"|"193529"|"1601370"|"RETIREMENT TRUST"|"F"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"193734"|"1601788"|"INTEREST IN INVESTMENT LLC'S"|"END OF YEAR MARKET VALUE"
"01-0566033"|"ISRAEL EMERGENCY ALLIANCE"|"193735"|"1601788"|"ISRAEL STATE BOND"|"END OF YEAR MARKET VALUE"
"01-0589927"|"MINOT COMMUNITY FOUNDATION"|"193965"|"1604722"|"OTHER INVESTMENTS"|"F"
"01-0478281"|"FRIENDS OF FORT KNOX"|"194017"|"1601787"|"Financial derivatives and other financial products"|""
"01-0478281"|"FRIENDS OF FORT KNOX"|"194018"|"1601787"|"Closely-held equity interests"|""
"01-0625811"|"Freedom Builders of America Inc"|"194668"|"1604723"|"Financial derivatives and other financial products"|""
"01-0625811"|"Freedom Builders of America Inc"|"194669"|"1604723"|"Closely-held equity interests"|""
"01-0284115"|"THE MAIN IDEA INC"|"195937"|"1617635"|"MORGAN STANLEY INVESTMENTS"|"F"
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"195938"|"1617645"|"Financial derivatives and other financial products"|""
"01-0577111"|"CHIN BAPTIST MISSION CHURCH"|"195939"|"1617645"|"Closely-held equity interests"|""
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"196738"|"1621620"|"TRICORP FEDERAL CREDIT UNION"|"C"
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"196739"|"1621620"|"SYNERGENT"|"C"
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"196740"|"1621620"|"CUSO MORTGAGE CORPORATION"|"C"
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"196741"|"1621620"|"CUNA STRATEGIC SERVICE, INC"|"C"
"01-0248224"|"MAINE CREDIT UNION LEAGUE"|"196742"|"1621620"|"CREDIT UNION HOUSE, LLC"|"C"
"01-0599147"|"DIGITAL MEDIA EDUCATION COMMUNITY MENTORING PROGRAM INC"|"196743"|"1621643"|"Financial derivatives and other financial products"|""
"01-0599147"|"DIGITAL MEDIA EDUCATION COMMUNITY MENTORING PROGRAM INC"|"196744"|"1621643"|"Closely-held equity interests"|""
"01-0756138"|"FIVE ACRES ANIMAL SHELTER"|"196745"|"1621647"|"MUTUAL FUNDS"|"F"
"01-0524769"|"Greater Franklin Development Corporation"|"196973"|"1621635"|"Financial derivatives and other financial products"|""
"01-0524769"|"Greater Franklin Development Corporation"|"196974"|"1621635"|"Closely-held equity interests"|""
"01-0575746"|"Saint Giannas Home Inc"|"196975"|"1621640"|"Financial derivatives and other financial products"|""
"01-0575746"|"Saint Giannas Home Inc"|"196976"|"1621640"|"Closely-held equity interests"|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"197785"|"1628107"|"Financial derivatives and other financial products"|""
"01-0620340"|"WHISPERS OF HOPE HORSE FARM"|"197786"|"1628107"|"Closely-held equity interests"|""
"01-0216837"|"The Maine Sea Coast Mission"|"197887"|"1628101"|"Beneficial interest in perpetual trusts"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197888"|"1628101"|"Domestic equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197889"|"1628101"|"Hedge funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197890"|"1628101"|"International equity funds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197891"|"1628101"|"Private equity fund"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197892"|"1628101"|"Split Interest Agreements"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197893"|"1628101"|"U S Treasury Notes and Bonds"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197894"|"1628101"|"U S Government Fixed Income (TIPS)"|"F"
"01-0216837"|"The Maine Sea Coast Mission"|"197895"|"1628101"|"Asset Allocation Fund"|"F"
"01-0532230"|"Schoodic Arts For All"|"197896"|"1628105"|"Financial derivatives and other financial products"|""
"01-0532230"|"Schoodic Arts For All"|"197897"|"1628105"|"Closely-held equity interests"|""
"01-0390443"|"Davis Family Foundation"|"198480"|"1630682"|"Limited Partnership and Fund of Funds Interests"|"F"
"01-0536785"|"Unity Foundation"|"198690"|"1632056"|"Closely-held equity interests"|"F"
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"198691"|"1632063"|"Financial derivatives and other financial products"|""
"01-0690378"|"PERRY MENNONITE RECEPTION CENTER"|"198692"|"1632063"|"Closely-held equity interests"|""
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"198693"|"1632076"|"Financial derivatives and other financial products"|""
"01-6013463"|"EVERGREEN CEMETERY ASSN"|"198694"|"1632076"|"Closely-held equity interests"|""
"01-0714863"|"Community Housing Services-Cedar Canyon Inc"|"198886"|"1632066"|"Financial derivatives and other financial products"|""
"01-0714863"|"Community Housing Services-Cedar Canyon Inc"|"198887"|"1632066"|"Closely-held equity interests"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"198888"|"1632078"|"Financial derivatives and other financial products"|""
"01-6019053"|"AMVETS CHARLES J LORING JR POST #25"|"198889"|"1632078"|"Closely-help equity intersts"|""
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"199791"|"1638972"|"Financial derivatives and other financial products"|""
"01-0794788"|"ECUMENICAL COMMUNITY OF CHAUTAUQUA INC"|"199792"|"1638972"|"Closely-held equity interests"|""
"01-0288757"|"Child And Family Opportunities Inc"|"200161"|"1641740"|"Investments"|"F"
"01-0596752"|"WORLD MISSIONS ADVANCE"|"200607"|"1644178"|"Financial derivatives and other financial products"|""
"01-0596752"|"WORLD MISSIONS ADVANCE"|"200608"|"1644178"|"Closely-held equity interests"|""
"01-0345195"|"SACOPEE RESCUE UNIT INC"|"200733"|"1645556"|"Financial derivatives and other financial products"|""
"01-0345195"|"SACOPEE RESCUE UNIT INC"|"200734"|"1645556"|"Closely-held equity interests"|""
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200809"|"1645554"|"PRIME MONEY MARKET FUND"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200810"|"1645554"|"CERTIFICATES OF DEPOSIT"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200811"|"1645554"|"SMALL - CAP INDEX FUND ADM"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200812"|"1645554"|"TOTAL STOCK MKT INX ADM"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200813"|"1645554"|"INTER-TERM BOND INDEX ADM"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200814"|"1645554"|"SHORT-TERM BOND INDEX ADM"|"F"
"01-0224532"|"FRIEND MEMORIAL PUBLIC LIBRARY"|"200815"|"1645554"|"INTERNATIONAL GROWTH ADM"|"F"
"01-0517984"|"CENTER FOR FURNITURE CRAFTSMANSHIP"|"200886"|"1645565"|"Closely-held equity interests"|"C"
"01-0456895"|"MOUNT AUBURN CEMETERY CORP"|"200989"|"1645559"|"SECURITIES"|"F"
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"201998"|"1651123"|"Financial derivatives and other financial products"|""
"01-0355797"|"BLUE KNIGHTS MOTORCYCLE CLUB"|"201999"|"1651123"|"Closely-held equity interests"|""
"01-0379498"|"Stanley Museum Inc"|"202654"|"1655348"|"Financial derivatives and other financial products"|""
"01-0379498"|"Stanley Museum Inc"|"202655"|"1655348"|"Closely-held equity interests"|""
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"203009"|"1658264"|"Financial derivatives and other financial products"|""
"01-0383493"|"MAINE PEOPLE'S ALLIANCE"|"203010"|"1658264"|"Closely-held equity interests"|""
"01-0116390"|"SHRINERS INTERNATIONAL"|"203034"|"1658263"|"INV FUNDS/BD DESIGNATED"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"203035"|"1658263"|"INVESTMENTS/LIFE MEMBERS"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"203036"|"1658263"|"CIRCUS RESERVE INVESTMENT"|"F"
"01-0116390"|"SHRINERS INTERNATIONAL"|"203037"|"1658263"|"INVESTMENTS -UNITS"|"F"
"01-0566111"|"SCHENECTADY COMMUNITY HOME INC"|"203173"|"1659163"|"MARKETABLE SECURITIES"|"F"
"01-0795543"|"NALLS FOUNDATION"|"203252"|"1659166"|"Financial derivatives and other financial products"|""
"01-0795543"|"NALLS FOUNDATION"|"203253"|"1659166"|"Closely-held equity interests"|""
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC"|"203673"|"1663836"|"FIXE DINCOME POOL"|"F"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC"|"203674"|"1663836"|"EQUITY POOL"|"F"
"01-0648145"|"ORTHOCAROLINA RESEARCH INSTITUTE INC"|"203675"|"1663836"|"PRIVATE INVESTMENT FUNDS"|"F"
"01-0211567"|"YOUNG MEN'S CHRISTIAN ASSOCIATION OF LEWISTON-AUBURN"|"204370"|"1669106"|"INVESTMENT IN ASSETS MAINE COMMUNITY FOUNDATION"|"F"
"01-0582371"|"SUNSHINE SOCIAL SERVICES INC"|"204950"|"1675946"|"Financial derivatives and other financial products"|""
"01-0582371"|"SUNSHINE SOCIAL SERVICES INC"|"204951"|"1675946"|"Closely-held equity interests"|""
"01-0520094"|"GEORGE & RAYMOND FRANK FOUNDATION"|"205158"|"1678312"|"Closely-held equity interests"|"COST"
"01-0449348"|"The Cobscook Community Learning Center"|"205427"|"1678434"|"Financial derivatives and other financial products"|""
"01-0449348"|"The Cobscook Community Learning Center"|"205428"|"1678434"|"Closely-held equity interests"|""
"02-0222215"|"ST JOSEPH HOSPITAL"|"206752"|"1689255"|"Closely-held equity interests"|"F"
"01-0427824"|"WATERSHED CENTER FOR THE CERAMIC ARTS"|"207332"|"1692073"|"MUTUAL FUNDS"|"F"
"01-0131335"|"Oak Grove Cemetery Association"|"209440"|"1710004"|"Financial derivatives and other financial products"|""
"01-0131335"|"Oak Grove Cemetery Association"|"209441"|"1710004"|"Closely-held equity interests"|""
"01-0409063"|"MAINE EDUCATION CREDIT UNION"|"209606"|"1710799"|""|"C"
"01-0368070"|"THE WILLIAM A FARNSWORTH LIBRARY AND ART MUSEUM INC"|"209716"|"1711413"|"LIMITED PARTNERSHIPS"|"F"
"01-0368070"|"THE WILLIAM A FARNSWORTH LIBRARY AND ART MUSEUM INC"|"209717"|"1711413"|"PERPETUAL TRUST HELD BY OTHERS"|"F"
"01-0216328"|"EVERGREEN CREDIT UNION"|"209892"|"1712442"|"CERTIFICATES OF DEPOSIT"|"C"
"01-0216328"|"EVERGREEN CREDIT UNION"|"209893"|"1712442"|"MORTGAGE-BACKED SECURITIES"|"C"
"01-0216328"|"EVERGREEN CREDIT UNION"|"209894"|"1712442"|"NCUSIF DEPOSIT"|"C"
"01-0216328"|"EVERGREEN CREDIT UNION"|"209895"|"1712442"|"TRICORP FC U MEMBERSHARES"|"C"
"01-0216328"|"EVERGREEN CREDIT UNION"|"209896"|"1712442"|"AGENCY SECURITIES"|"C"
"01-0204000"|"MAINE STATE EMPLOYEES ASSOCIATION"|"210434"|"1716626"|"Closely-held equity interests"|"COST"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210435"|"1716628"|"CASH RESERVE FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210436"|"1716628"|"MUTUAL FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210437"|"1716628"|"BONDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210438"|"1716628"|"EQUITIES FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210439"|"1716628"|"REAL ESTATE FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210440"|"1716628"|"COMMODITIES"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210441"|"1716628"|"ALTERNATIVE FUNDS"|"F"
"01-0212442"|"PINE TREE SOCIETY FOR HANDICAPPED CHILDREN AND ADULTS INC"|"210442"|"1716628"|"TIPS"|"F"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"210443"|"1716630"|"ORCHID ASIA III FUNDS"|"F"
"01-0263908"|"SKOWHEGAN SCHOOL OF PAINTING AND SCULPTURE INC"|"210444"|"1716630"|"ITIGERGLOBALCLASSC SERIES 1A FUND"|"F"
"01-0401717"|"The Ark"|"210445"|"1716634"|"Financial derivatives and other financial products"|""
"01-0401717"|"The Ark"|"210446"|"1716634"|"Closely-held equity interests"|""
"01-0734263"|"LEE & HERMAN OSTROW FAMILY FOUNDATION"|"210448"|"1716653"|"COMMON INVESTMENT POOL"|"FMV"
"01-6004404"|"United Way of Kennebec Valley"|"210449"|"1716658"|"Mutual funds"|"F"
"01-0127336"|"NEW AUBURN SOCIAL CLUB INC"|"212470"|"1724967"|"Financial derivatives and other financial products"|""
"01-0127336"|"NEW AUBURN SOCIAL CLUB INC"|"212471"|"1724967"|"Closely-held equity interests"|""
"01-0598053"|"Sears Brazos Retirement Corporation"|"212910"|"1728736"|"Investment in SMF"|"Cost"
"01-0750822"|"TMG FOUNDATION"|"213967"|"1734709"|"Closely-held equity interests"|"Cost"
"01-0438881"|"SHADY NOOK IMPROVEMENT ASSOCIATION INC"|"214056"|"1736137"|"Financial derivatives and other financial products"|""
"01-0438881"|"SHADY NOOK IMPROVEMENT ASSOCIATION INC"|"214057"|"1736137"|"Closely-held equity interests"|""
"02-0214073"|"AMERICAN LEGION ROBERT G DURGIN POST #6"|"214058"|"1736150"|"Edward Jones"|"C"
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"215232"|"1742339"|"Financial derivatives and other financial products"|""
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"215233"|"1742339"|"Closely-held equity interests"|""
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"215236"|"1742408"|"Financial derivatives and other financial products"|""
"01-0347068"|"POLAND SPRING PRESERVATION SOCIETY"|"215237"|"1742408"|"Closely-held equity interests"|""
"01-0211513"|"THE JACKSON LABORATORY"|"216133"|"1749256"|"US EQUITY"|"F"
"01-0211513"|"THE JACKSON LABORATORY"|"216134"|"1749256"|"INTERNATIONAL EQUITY"|"F"
"01-0211513"|"THE JACKSON LABORATORY"|"216135"|"1749256"|"ALTERNATIVE"|"F"
"01-0867393"|"CR JRS CHIP"|"216136"|"1749275"|"CASH AND CASH EQUIVALENTS"|"F"
"01-0371194"|"WILLOWBROOK AT NEWFIELD RESTORATION VILLAGE"|"219228"|"1767653"|"Closely-held equity interests"|"C"
"01-0596561"|"LIBERTY LODGE INC"|"220002"|"1770790"|"Financial derivatives and other financial products"|""
"01-0596561"|"LIBERTY LODGE INC"|"220003"|"1770790"|"Closely-held equity interests"|""
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"220004"|"1770791"|"INVESTMENTS - BONDS"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"220005"|"1770791"|"INVESTMENTS - STOCKS"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"220006"|"1770791"|"INVESTMENTS - CD'S & EQUIVALENTS"|"F"
"01-0645457"|"EL PORTAL DE BELEN FOUNDATION"|"220007"|"1770791"|"INVESTMENTS - GOVERNMENT SECURITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"220816"|"1774757"|"GLOBAL EQUITIES"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"220817"|"1774757"|"ABSOLUTE RETURN &LONG/SHORT"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"220818"|"1774757"|"PRIVATE EQUITY & REAL ESTATE"|"F"
"02-0222174"|"PHILLIPS EXETER ACADEMY"|"220819"|"1774757"|"OTHER"|"F"
"01-0267877"|"KENNEBUNK BEACH IMPROVEMENT ASSOCIATION"|"220823"|"1774771"|"SECURITIES AND OTHER INVESTMENTS"|"F"
"01-0353275"|"Martin's Point Health Care Inc"|"220824"|"1774772"|"Alternative Investments"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"220825"|"1774774"|"PARTNERSHIP INVESTMENTS"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"220826"|"1774774"|"DREYFUS INTERMEDIATE TERM INCOME FUND"|"F"
"01-0368574"|"WENDELL GILLEY MUSEUM OF BIRD CARVING"|"220827"|"1774774"|"CASH EQUIVALENTS"|"C"
"01-0553431"|"AMERICAN FRIENDS OF YESHIVAT HESDER SDEROT,INC"|"224016"|"1802977"|"LIFE INSURANCE POLICIES"|"COST"
"01-0627754"|"CLEVELAND ARTS PRIZE"|"230496"|"1848263"|"MARKETABLE SECURITIES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230497"|"1848264"|"SPONSORED ENTERPRISES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230498"|"1848264"|"ASSET-BACKED SECURITIES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230499"|"1848264"|"COMMERCIAL MORTGAGE BACKED SEC"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230500"|"1848264"|"MUNICIPAL BONDS"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230501"|"1848264"|"CORPORATE DEBT SECURITIES"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230502"|"1848264"|"ACCRUED INTEREST"|"F"
"01-0719207"|"FIRST MEDICAL INSURANCE COMPANY (RRG)"|"230503"|"1848264"|"FOREIGN GOVERNMENTS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233183"|"1860547"|"MONEY MARKET FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233184"|"1860547"|"PRIVATE EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233185"|"1860547"|"POOLED INTERNATIONAL EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233186"|"1860547"|"HEDGED EQUITY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233187"|"1860547"|"POOLED DOMESTIC EQUITY FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233188"|"1860547"|"REAL ASSETS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233189"|"1860547"|"POOLED FIXED INCOME FUNDS"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233190"|"1860547"|"LONG/SHORT CREDIT"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233191"|"1860547"|"MULTI-STRATEGY"|"F"
"01-0679337"|"SAN FRANCISCO FOUNDATION"|"233192"|"1860547"|"PRIVATELY HELD DOMESTIC EQUITY"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"233753"|"1862304"|"Emerging Markets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"233754"|"1862304"|"Marketable Alternatives"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"233755"|"1862304"|"Private Equity & Venture Capital"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"233756"|"1862304"|"Real Assets"|"F"
"01-0391479"|"Maine Community Foundation Inc"|"233757"|"1862304"|"Less allocable share of investments to supporting organizations"|"F"
