"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"CODE_A"|"EXPENSES_A"|"GRANT_A"|"REVENUE_A"|"SERVICE_A"|"CODE_B"|"EXPENSES_B"|"GRANT_B"|"REVENUE_B"|"SERVICE_B"|"CODE_C"|"EXPENSES_C"|"GRANT_C"|"REVENUE_C"|"SERVICE_C"
"01-0532835"|"SAFE PASSAGE"|"639788"|""|"1537341.0000"|"1354318.0000"|"188.0000"|"Safe Passage provides overall management direction, fundraising capacity, and volunteer support services for its guatemalan counterpart, Camino seguro the mission of Safe Passage is ""to empower the poorest, at-risk children of families working in the community of the Guatemala City garbage dump"|""|""|""|""|""|""|""|""|""|""
"01-0792334"|"GAMA INTERNATIONAL"|"639789"|""|""|""|""|"Lamp conference - live program that allows members to exchange information and participate in professional development activities in a one-to-one environment"|""|""|""|""|"Membership and awards - allows individuals to be part of a professional development organization and gain access to PD materials, both web-based and written also provides world-wide recognition of meeting financial milestones within the industry"|""|""|""|""|"Professional development services - makes available numerous products and publications that are created specifically to further the professional development of field leaders in the insurance, investment, and financial services industries"
"01-0403876"|"NEWBURGH SENIORS' HOUSING CORPORATION - PRESISTENCE"|"641202"|""|"225691.0000"|""|"61046.0000"|"The organization provides low-income housing to the elderly with a 20 unit facility known as Newburgh senioor Housing Corporation lacated in Newburgh, Maine"|""|""|""|""|""|""|""|""|""|""
"01-0495589"|"PORTLAND CONSERVATORY OF MUSIC"|"641203"|""|"294649.0000"|""|"293184.0000"|"The conservatory exists to promote music education and foster a musical community in Portland and the surrounding area through lessons, concerts, recitals, symposiums, and classes the conservatory is in its 15th year and has seen continued growth in enrollment and programs, which include ensembles, classes, private lessons, summer camps, concert series, and an international music festival"|""|""|""|""|""|""|""|""|""|""
"01-0656674"|"BRUNSWICK SENIOR RESOURCES, INC."|"641204"|""|"1228805.0000"|""|"1268733.0000"|"Provides congregate, home delivered meals and in-home services to elderly in Brunswick County: services nutrition: 112,527 meals to 2,600 clients"|""|"115552.0000"|""|"145295.0000"|"6,320 units of general transportation for 71 clients 4,712 units of medical transportation for 483 clients 1,143 units of senior shopping trips for 183 clients 12,175 total transportation units benefiting 737 seniors"|""|"87388.0000"|""|"89524.0000"|"12,397 prescriptions for 1,023 clients saving Brunswick County seniors $2.6 million in out-of-pocket expenses. Average savings per senior = $2,541.55"
"01-0699969"|"COMPASS CHARTER MIDDLE SCHOOL INC"|"641205"|""|"1030688.0000"|""|"1258647.0000"|"The charter school provides educational services to students at-risk in grades five through eight the mission of the school seeks to empower students through high intellectual and conduct standards by using key components of the talent development Middle School model, and by using classroom management with throughtful classroom discipline that nurtures a sense of self-discipline in students based on the consistency management and cooperative discipline model"|""|""|""|""|""|""|""|""|""|""
"01-0366544"|"COMMONSENSE HOUSING, INC"|"642174"|""|"3165789.0000"|"0.0000"|"3889038.0000"|"Title 19 Income, Room & Board, Travel Reimbursement & Other Income"|""|"0.0000"|"0.0000"|"0.0000"|""|""|"0.0000"|"0.0000"|"0.0000"|""
"01-0284280"|"Multiple Handicapped Association of Aroostook"|"649017"|""|"39387.0000"|""|""|"Transportation of clients to and from the educational facility"|""|"158389.0000"|""|""|"Education of multiple handicapped adults"|""|""|""|""|""
"01-0779978"|"CENTER FOR AUTOMOTIVE RESEARCH"|"649019"|""|"1934921.0000"|""|"2133457.0000"|"Research Center for Automotive Research participates in several multi-year automotive industry related research projects that are supported by federal, state, foundation and private industry sources the projects focus on analyzing economic and industry trends, performing collaborative research projects and forming opinions on automotive related policies"|""|"1382255.0000"|""|"1960746.0000"|"Conferences the Center for Automotive Research conducts conferences on automotive industry trends, techonology and manufacturing the most significant conference offered is the CAR management briefing seminars the mbs has taken place annually for more than 40 years in addition to providing up-to-date information on automotive related topics, the seminars provide networking opportunities to participants and promotes the sharing of ideas in addition to the mbs"|""|""|""|""|""
"01-0494481"|"RICHMOND ELDERCARE COALITION"|"649554"|""|"502800.0000"|""|"544508.0000"|"To provide residential and adult day care for the elderly as well as transportation when needed."|""|""|""|""|""|""|""|""|""|""
"01-0545281"|"Greenwood"|"649555"|""|"242659.0000"|"278923.0000"|"58060.0000"|""|""|"59754.0000"|"97000.0000"|"371.0000"|"Blue Moon This initiative is intended to produce high value wood products from well managed forests in the Palcazu Valley of Peru Working with artisans in at least three indigenous Yanesha communities-and in close collaboration with local nonmprofit partner PaTS-our objective is to provide a growing number of Yanesha artisans with sustainable livelihoods and tangible incentives to protect their forest"|""|"68760.0000"|"94739.0000"|"44424.0000"|"Peru Oportunity Fund, same as Blue Moon"
"01-0615880"|"THE CHILDREN'S GARDEN INC"|"649556"|""|"302077.0000"|""|"278014.0000"|"Operate a montessori school for education of children"|""|""|""|""|""|""|""|""|""|""
"01-0211478"|"UNITED WAY OF EASTERN MAINE"|"649016"|""|"1715570.0000"|"1715570.0000"|""|"Allocations to member agencies programs applying for funding with United Way need to submit applications and logic models that identify the goals the program will strive to achieve under three different impact areas - strengthening children and families, supporting seniors, and meeting basic needs and self sufficiency coutinued on schedule o community volunteers review each application to determine that it is not duplicastive, will reach the intended targets"|""|"158513.0000"|"136897.0000"|""|"Camp Bangor 2010 for eleven years the libra foundation funded camp scholarships for children in the public schools in Portland, Lewiston and Bangor in 2010 every eligible child grades 4-6 was able to utilize 500 at any aproved Maine camp in the final year of the program 463 children registered for camp in Bangor United Way of Eastern Maine managed the process, straing in February with a camp fair and going through the entire season registering children and paying camps continued on schedule o"|""|"164157.0000"|""|""|"Agency supporta t the end of each funding cycle, all programs that receive support must submit final reports indntifying the acual outcomes achieved all of our program submitted reports from out last 2 year funding cycl reports are reviewed by staff and any that did not meet outcomes per their logic model are followed up with in addition, United Way of Eastern Maine works year-round to maintain strong program/agency contracts"
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|""|"15252753.0000"|""|""|"Provided high school education primarily to residents of the city of Saco, Maine"|""|""|""|""|""|""|""|""|""|""
"01-0607900"|"MOUND STREET HEALTH CAREERS ACADEMY"|"647447"|""|"1355351.0000"|"414386.0000"|"1138130.0000"|"Educate children in grades 9-12 in Montgomery County"|""|""|""|""|""|""|""|""|""|""
"01-0228297"|"SKIDOMPHA LIBRARY ASSOCIATION"|"650857"|""|"326437.0000"|"0.0000"|"0.0000"|"Provides public library services to residents of Damariscotta, Newcastle, Nobleboro and surrounding communities. These services include a collection of titles in multiple formats (large print, audio, ebooks), interlibrary loan program, reader's advisory, book clubs, literacy training and improvement, access to reference services and programming for all ages. Skidompha also serves as a meeting and gathering place for our community offering a variety of meeting space and audio visual equipment."|""|"2333.0000"|"0.0000"|"0.0000"|"Eager Readers. This program includes reading readiness training for younger ages. We have a ""Baby Circle"" that includes stories, fingerplay and music, ""Toddler Time"" uses stories, fingerplay, rhyming, singing and movement. ""Ready to Read' teaches the alphabet and simple words to 4 and 5 year olds."|""|"1776.0000"|"0.0000"|"0.0000"|"Evil Geniuses This program is aimed at 8 to 12 year olds and focuses on science and nature. We have made light boxes, robots and watched caterpillars turn into monarch butterflies. This program, in combination with our Cornerstones of Science designation, addresses the STEM needs of this age group (Science, Technology, Environment, and Math)."
"01-0706379"|"WESTBY HOUSING ASSOCIATES INC"|"643661"|""|"180872.0000"|""|"191350.0000"|"Own and operate three, eight-unit housing facilities for low-income handicapped tenants tenant rents are sbusidized by us dept of housing and urban development"|""|"201054.0000"|""|"167061.0000"|"Own and operate a 24-unit housing facility for low-income elderly tenants tenant rents are subsidized by the US dept of housing and urban development"|""|"170641.0000"|""|"145324.0000"|"Own and operate a 20-unit apartment buidling for low-income elderly tenants tenant rents are subsidized by us dept of housing and urban development"
"01-0795152"|"CHRISTIAN FRIENDS OF NEW AMERICANS"|"643662"|""|"214539.0000"|""|""|"The main services CFNA provides is to assist immigrants and refugees transition to life in America, including the following: ESL, tutoring children, sports, health screening, and distributing household goods; all done with a Christian witness"|""|""|""|""|""|""|""|""|""|""
"01-0518428"|"NORTH ATLANTIC FIGURE SKATING CLUB"|"651153"|""|"194181.0000"|""|"168937.0000"|"To encourage the instruction, practice, and advancement of the members in all types of Figure Skating, to promote harmony among members; to encourage and cultivate a spirit of fraternal feeling among ice skaters; to sponsor, to produce, to participate in the production of amateur ice carnivals and shows."|""|""|""|""|""|""|""|""|""|""
"01-0211507"|"Good Samaritan Agency"|"656619"|""|"299963.0000"|""|""|"Childcare Center - Provided quality childcare in a licensed daycare setting serving up to 49 children age six weeks to five years. Care is provided by trained staff using the creative curriculum method."|""|"214309.0000"|""|""|"Single Parent Program - Provided case management services and alternative education services to single/pregnant and/or parenting teens."|""|"43140.0000"|""|""|"Adoption Program - Provided a continuum of adoption services to families wishing to build their families through adoption."
"01-0263507"|"Central Aroostook ARC"|"656620"|""|"978954.0000"|""|"1029179.0000"|"Opportunity Training Center-Classroom teaching for school age children"|""|"725040.0000"|""|"786511.0000"|"Work Opportunities Center-Vocational training for adults"|""|"1546569.0000"|""|"1637003.0000"|"Residential Services-Homes owned and/or maintaned by the organization to provide housing for mentally disabled consumers"
