"C_EIN"|"C_Org_Name"|"XML_DOCUMENT_ID"|"PURPOSE"|"SIG_PROG_SERV_CBX"|"ENGAGE_CBX"|"OTHER_GRANTS"|"OTHER_EXPENSES"|"REVENUE_D"|"EXPENSES_TOTAL"|"SCH_O_III_CBX"
"01-0642617"|"BEACON - INDEPENDENT LIVING SERVICES"|"662307"|"To educate, train and assist developmentally disabled adults to live independently in the community of their choosing"|"N"|"N"|""|""|""|"1165339.0000"|""
"01-0851915"|"PROJECT FAITH FOUNDATION INC."|"662309"|"Foundation provided benevolant assistance to those in need."|"N"|"N"|""|""|""|"726.0000"|""
"01-0930709"|"Glenwood Family Ministries"|"662310"|"Use the power of positieve relationships to educate, encourage, and equip Glenwood youth in order to transform their future Our priorities are educational, spiritual growth amd family growth through tutoring programs and enrichment"|"N"|"N"|""|""|""|""|""
"01-6022815"|"ISLAND MEDICAL CENTER"|"662311"|"The Island Medical Center provides facilities for medical and dental services for residents of deer isle, isle au haut, and nearby islands in penobscot bay."|"N"|"N"|""|""|""|"118916.0000"|""
"01-0367357"|"AMERICAN CIVIL LIBERTIES UNION OF MAINE FOUNDATION"|"667825"|"To advance and preserve Civil Liberties of Maine people."|"N"|"N"|""|""|""|"310269.0000"|""
"01-0545335"|"United Ambulance Service"|"667826"|"To provide the best patient care possible"|"N"|"N"|""|""|""|"4726781.0000"|""
"01-0224769"|"TRUSTEES OF THORNTON ACADEMY"|"647938"|"High school education"|"N"|"N"|""|""|""|"15252753.0000"|""
"01-0319421"|"UNIVERSITY OF MAINE STUDENT GOVERNMENT"|"669155"|"To serve the general student body of the University of Maine by providing social, cultural, and educational programs and activities to expand the scope of the educaitonal experience; by providing the most effective use of student money and effort; by informing students of issues which are their concern and to eliminate confusion about those issues; and by representing the general student body to the state government."|"N"|"N"|""|"76762.0000"|""|"709804.0000"|"Y"
"01-0320500"|"Evergreen Cemetery Association"|"663122"|"Maintain Perpetual Care for Cementary Lots"|"N"|"N"|""|"13613.0000"|""|"13613.0000"|"Y"
"02-0172300"|"BUSINESS AND INDUSTRY ASSOCIATION OF NH"|"663123"|"To promote a health business climate and robust economic future for New Hampshire."|"N"|"N"|""|""|""|""|""
"01-0351143"|"Belfast Free Library"|"673277"|"The Belfast Free Library is dedicated to helping individuals of all ages pursue independent learning by providing access to timely and useful information in all formats"|"N"|"N"|""|""|""|"81629.0000"|""
"01-0371245"|"GROUP MAIN STREAM INCORPORATED"|"673278"|"The agency provides a residential setting to assist adults with developmental disabilities to accomplish and maintain their highest attainable living skills and to improve their quality of life by supporting independence"|"N"|"N"|""|""|""|"3555486.0000"|""
"01-0538045"|"TEEN AND YOUNG PARENT PROGRAM OF KNOX COUNTY"|"673280"|"To support first time parents and their children through the efforts of certified parent educators providing in-home visits and to build a caring community for Teen and Young parents"|"N"|"N"|""|""|""|"512299.0000"|""
"01-0556446"|"Quincy Asian Resources, Inc."|"673281"|"To foster and promote the development of social, cultural, economic and civil lives of Asian Americans to benefit the entire community."|"N"|"N"|""|""|""|"233153.0000"|"Y"
"01-0671144"|"WASHINGTON DRUG & ALCOHOL COMMISSION INC"|"673282"|"To enrich the quality of life for persons who have experienced problems related to the use of abuse of alcohol and other drugs this organization will ensure that clients receive the appropriate level of Drug/Alcohol treatment, while efficiently utilizing various funding sources to help eliminate financial impediments for the client who is seeking Drug/Alcohol treatment"|"N"|"N"|""|""|""|"2313374.0000"|"Y"
"01-0865446"|"Cosby High School Athletic Boosters"|"673283"|"Support of Cosby High School student athletic program. The booster organization provides items for the student athletes that are beyond the financial ability of the school budget to provide. Examples include new uniforms, student awards, weights for athletic training, etc."|"N"|"N"|""|""|""|"62335.0000"|""
"01-0339631"|"BIDDEFORD YOUTH HOCKEY ASSOCIATION"|"673276"|"Recreational hockey club for area youth purpose is to provide for a healthy athletic experience and training for children in an atmosphere of respect for players, managers, referees, and members of the community"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"199982.0000"|""
"01-0286579"|"WILTON FREE PUBLIC LIBRARY"|"685658"|"The library serves a community of approximately 4,250 people. Total annual circulation is over 28,000."|"N"|"N"|""|""|""|"171953.0000"|""
"01-0467869"|"MAINE AQUACULTURE INNOVATION CENTER"|"685665"|"To strengthen the competitive position on the development and commercialization of new marketable species of finfish, shellfish, and sea vegetables by developing technology to lower industry cost and provide education."|"N"|"N"|""|""|""|"217941.0000"|""
"01-0488464"|"GREAT POND MOUNTAIN CONSERVATION TRUST"|"685666"|"Conserving land, water and wildlife habitat for the communities of northwest Hancock County. Protecting our legacy of abundant wildlife habitat and biodiversity clean water rural character and scenic beauty working forests and farms outdoor recreation and education"|"N"|"N"|""|""|""|"72095.0000"|"Y"
"01-0521260"|"RIPPLEFFECT INC"|"685667"|"To promote positive youth and community development through learning adventures in living classrooms"|"N"|"N"|""|""|""|"619028.0000"|""
"01-0533796"|"The Maine Special Education/ Mental Health Collaborative"|"685668"|"The organization's mission is to serve its students, their families and their sending school districts through well coordinated educational, clinical and consultation services."|"N"|"N"|""|""|""|"2365790.0000"|""
"01-0562891"|"ATLANTIC CAPE FAMILY SUPPORT ORGANIZATION INC."|"685671"|"ACFSO is an organization created, built, and run by parents of emotionally and/or behaviorally challenged children. It was established to provide support, education, and advocacy for families with emotionally and/or behaviorally challenged children in atlantic and Cape may counties New Jersey."|"N"|"N"|""|""|""|"587091.0000"|"Y"
"01-0633672"|"EARLY CHILDHOOD COUNCIL OF LARIMER COUNTY, INC"|"685673"|"To support quality Early Childhood services availability and accessibility based on community needs. To create sustainable financing for Early Childhood services. To create and sustain a professional workforce by increasing the professional development trvel of Early Childhood professionals and to increase community awareness of the value and importance of Early Childhood services."|"N"|"N"|""|""|""|"557681.0000"|"Y"
"01-0728178"|"ALVEOLI CORPORATION"|"685674"|"Provide screening and diagnosis to patients with lung disease, educate and provide benefit counseling to lung disease patients."|"N"|"N"|""|""|""|"218409.0000"|""
"01-0768551"|"Ashland County Lifeworx Inc."|"685676"|"The mission of Ashland County Lifeworx, Inc. is to provide educational, vocational, recreational, and social supports for persons with a mental health diagnosis. It is the goal of Lifeworx to promote community integration for the members it serves."|"N"|"N"|""|""|""|"59935.0000"|""
"01-0869799"|"Washington's National Park Fund"|"685677"|"To raise significant financial support to deepen the public's love for, understanding of, and experiences in Mount Rainier, North Cascades and Olympic National Parks, so they remain vital to our lives and the health of our planet forever."|"N"|"N"|""|""|""|"476975.0000"|""
"01-0892950"|"JUMP OF OHIO INC"|"685678"|"To provide employability and life skills training for eligible youth, ages 15-21"|"N"|"N"|""|""|""|"103955.0000"|"Y"
"01-6015247"|"Naples Public Library"|"685681"|"Maintain and operate a Free Public Library for the population of Naples, Maine and environs and for the use of other persons who may be in the area on a temporary or seasonal basis"|"N"|"N"|""|"3307.0000"|""|"138339.0000"|""
"01-6015647"|"Penobscot Marine Museum"|"685682"|"The mission of the Penobscot Marine Museum is to preserve, interpret and celebrate the maritime culture of the Penobscot Bay region and beyong through collections, education and community engagement."|"N"|"N"|""|"42083.0000"|"21197.0000"|"628838.0000"|"Y"
"01-0248668"|"HUBBARD FREE LIBRARY"|"685654"|"Hubbard Free Library will continue to provide an excellent source of reading materialsl including books, magazines, audio and visual tapes, continue the very popular children's preschool reading programcontinue the children's summer reading programj and continue with wonderful events for all ages including lectures and music continue providing"|"N"|"N"|"0.0000"|"0.0000"|""|"301411.0000"|""
"01-0345660"|"BOOTHBAY REGION AMBULANCE SERVICE"|"685659"|"To provide community ambulance services to the boothbay harbor region of Maine"|"N"|"N"|""|""|""|"544923.0000"|""
"01-0249577"|"BREAKWATER SCHOOL"|"685655"|"The school's mission is to engage students in an optimal learning experience that inspires them to live well on the planet, embrace their whole being, and realize their full potential this is accomplished by continually reviewing and applying be St educational practice while remaining true to our communities values and spirit"|"N"|"N"|""|""|""|"1506934.0000"|"Y"
"01-0348849"|"MAPS"|"685660"|"Maps mission is stability and permanency for children everywhere through international and domestic aid programs, adoption programs, and pregnancy and parenting support services."|"N"|"N"|""|""|""|"6091048.0000"|""
"01-0355649"|"ST. JOHN VALLEY ASSOCIATES, INC."|"685661"|"Services for the mentally handicapped"|"N"|"N"|""|""|""|"614691.0000"|""
"01-0369660"|"Work First Inc"|"685662"|"Care and rehabilitation ofthe dev elo pm enta lly disabled"|"N"|"N"|""|""|""|"1737673.0000"|""
"01-0388492"|"TURNER PUBLIC LIBRARY ANDROSCOGGIN SAVINGS BANK, MANAGER"|"685663"|"The Turner Public Library shall design its services and build its collection of books and media to accommodate and advance the interest of the community."|"N"|"N"|""|""|""|"33625.0000"|""
"01-0459572"|"The Associates of the Osher Map Library"|"685664"|"To support the activities and programs of the Osher Map Library and Smith Center for Cartographic Education and promote the educational and outreach goals of the map library."|"N"|"N"|""|""|""|"54712.0000"|""
"01-0275447"|"Children's Center Early Intervention & Family Support"|"685656"|"The Children's Center, as a nonprofit organization, provides quality, family-focused services for children; specializes in meeting the developmental needs of children with special needs by offering programs which encourage individual growth and development of Description of Organization Mission: children; provides support for their families; and promotes inclusion of all children in the community."|"N"|"N"|""|""|""|"2517545.0000"|"Y"
"01-0215686"|"RICE PUBLIC LIBRARY"|"685653"|"Provide public, free library services to the residents of Kittery"|"N"|"N"|""|""|""|"306873.0000"|""
"01-0279587"|"Waban Projects Inc"|"685657"|"Waban Projects provides a comprehensive array of programs that each year provides essential services and support to over 1,000 children and adults with special needs"|"N"|"N"|""|"588775.0000"|"100372.0000"|"10475098.0000"|"Y"
"01-0275130"|"Unity College"|"671110"|"Unity College is a small, private college in rural Maine that provides dedicated, engaged students with a liberal arts education that emphasizes the environment and natural resources Graduates of the college are prepared to be environmental stewards, effective leaders, and responsible citizens through active learning experiences within a supportive community"|"N"|"N"|""|""|""|"14116841.0000"|"Y"
"01-0780934"|"LAKE COUNTY INT CHARTER SCHOOL"|"674479"|"Establishment and operation of a grade k-8 Charter School according to Senate bill 1448 under the laws of California as a non-profit organization."|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"246284.0000"|""
"01-0490422"|"PERSONAL ONSITE DEVELOPMENT"|"671111"|"Mission Personal Onsite Development is a Maine, not-for-profit agency that provides services to adults with developmental disabilities our services are tailored to meet individual needs and are created to enable individuals to live more independently in their community vision the emphasis of our programming at Personal Onsite Development is to promote and enhance individuals' lives by integrating services"|"N"|"N"|""|""|""|"609739.0000"|"Y"
"01-0686429"|"CLUB HORIZON, INC."|"671112"|"Improve the quality of life for adults with serious mental illness"|"N"|"N"|""|""|""|"467698.0000"|""
"01-0781831"|"THE DOUGLAS CENTER"|"671113"|"The Douglas Center provides quality social services in a Day Program to disabled and handicapped individuals with developmental disabilities and mental health issues"|"N"|"N"|"0.0000"|"0.0000"|"0.0000"|"1196396.0000"|""
"01-0793127"|"HAPPILY EVER AFTER Educational Programs Inc."|"671114"|"The corporation provides affordable abstinence education to public and private school curriculums, as well as to youth clubs and church youth groups."|"N"|"N"|""|""|""|"1872.0000"|""
"01-6014236"|"MORSE HIGH SCHOOL SCHOLARSHIP FUND"|"674480"|"The organization provides scholarships, grants and achievement awards to graduates of Morse High School, Bath, Maine."|"N"|"N"|""|""|""|"170412.0000"|""
"01-0266854"|"ELMHURST INC"|"677035"|"Provide shelter and programs forthe intellectually disabled in integrated community settings"|"N"|"N"|""|"1824436.0000"|"2331820.0000"|"2848106.0000"|"Y"
"01-0367582"|"PORT RESOURCES INC"|"677036"|"The organization is dedicated to empowering people with disabilities to live rich and fulfilling lives in their communities"|"N"|"N"|""|""|""|"11474556.0000"|""
"01-0568739"|"Korean American Foundation - Greater Washington"|"677037"|"Korean American Foundation - Greater Washington shall be operated exclusively for educational and charitable purposes within the meaning of Section 501(c) (3) of the I.R.C. of 1986. The purpose for which the corporation is formed to organize and provide programs relating to the history and future of Korean American immigration. Specifically, the organization will conduct following activities. (a) Planning & Policy making (b) Survey & Research (c) Publication & Public Information"|"N"|"N"|""|""|""|"11005.0000"|"Y"
"01-0589882"|"JARED C. BRUCE ACADEMY"|"677038"|"To provide educational opportunities for children in grades k-4 through 8th and is committed to educate every student in its care by providing educational excellence in a Christian based enrivonment with emphasis on academic character and spiritual development."|"N"|"N"|""|""|""|"969442.0000"|"Y"
